product_id,name,category,price,stock
1,Expanded asymmetric focus group Standard,Books,877.11,380
2,Optimized global core Pro,Pet Supplies,37.73,198
3,Function-based eco-centric conglomeration Deluxe,Electronics,874.38,236
4,Quality-focused optimizing website Basic,Health & Beauty,943.08,92
5,Persevering intangible instruction set Standard,Home & Garden,134.88,52
6,Persistent mobile open architecture Basic,Automotive,796.47,107
7,Optimized even-keeled matrices Pro,Food & Beverages,334.52,21
8,Function-based web-enabled paradigm Premium,Sports & Outdoors,181.7,356
9,Networked asynchronous synergy Standard,Food & Beverages,72.23,444
10,Horizontal 3rdgeneration task-force Deluxe,Health & Beauty,403.36,468
11,Object-based intermediate application Deluxe,Pet Supplies,751.97,457
12,Robust dedicated benchmark Basic,Sports & Outdoors,689.89,9
13,Object-based 4thgeneration strategy Standard,Food & Beverages,805.98,221
14,Object-based clear-thinking archive Deluxe,Books,239.15,91
15,Proactive background extranet Standard,Books,771.54,342
16,Secured regional knowledge user Pro,Electronics,107.15,264
17,Fully-configurable interactive knowledge user Standard,Electronics,374.51,124
18,Mandatory mobile application Deluxe,Pet Supplies,218.81,276
19,Focused object-oriented monitoring Basic,Clothing,960.7,436
20,Total maximized leverage Deluxe,Food & Beverages,706.68,247
21,Programmable contextually-based pricing structure Standard,Sports & Outdoors,884.95,375
22,Configurable 4thgeneration initiative Deluxe,Health & Beauty,504.2,275
23,Cross-platform real-time archive Pro,Food & Beverages,903.49,334
24,Digitized 24/7 ability Standard,Health & Beauty,263.46,77
25,Cloned bi-directional moratorium Premium,Food & Beverages,193.16,471
26,Future-proofed high-level knowledgebase Pro,Food & Beverages,961.2,188
27,Upgradable neutral artificial intelligence Basic,Clothing,332.41,256
28,Cross-group bi-directional hardware Deluxe,Pet Supplies,36.91,195
29,Vision-oriented actuating success Pro,Clothing,449.79,272
30,Robust incremental orchestration Standard,Books,376.01,229
31,Virtual tertiary pricing structure Premium,Pet Supplies,118.78,38
32,Customizable zero administration productivity Pro,Books,436.42,387
33,Decentralized context-sensitive array Premium,Toys & Games,422.6,303
34,Intuitive multi-state open architecture Basic,Pet Supplies,632.8,275
35,Realigned neutral superstructure Basic,Food & Beverages,315.86,213
36,Expanded holistic analyzer Standard,Food & Beverages,11.3,60
37,Persistent static customer loyalty Deluxe,Food & Beverages,982.73,254
38,Mandatory human-resource frame Standard,Automotive,543.63,54
39,Intuitive intangible artificial intelligence Deluxe,Clothing,971.31,72
40,Polarized systematic knowledgebase Pro,Clothing,991.14,325
41,Enhanced bandwidth-monitored matrices Premium,Health & Beauty,461.32,6
